date,slope,zero
2025-06-02 09:58:43,3.802812679059526e-05,-0.051716030068850026
2025-06-02 12:57:09,3.802812679059526e-05,0.046052061543410856
2025-06-02 13:27:30,3.802812679059526e-05,0.04704079283996633
2025-06-02 13:27:49,3.802812679059526e-05,0.047116849093547526
2025-06-02 13:30:45,3.802812679059526e-05,0.056471768284033955
2025-06-02 13:30:50,3.802812679059526e-05,0.056471768284033955
2025-06-02 13:32:39,3.802812679059526e-05,0.05669993704477753
2025-06-02 13:33:59,3.802812679059526e-05,0.05673796517156812
2025-06-02 13:37:29,3.802812679059526e-05,0.056775993298358716
2025-06-02 13:57:17,3.802812679059526e-05,0.04795346788294062
2025-06-02 13:57:21,3.802812679059526e-05,0.04795346788294062
2025-06-02 13:59:11,3.802812679059526e-05,0.048105580390103
2025-06-02 13:59:26,3.802812679059526e-05,0.35419397292760424
2025-06-02 13:59:39,3.802812679059526e-05,0.04692670845959455
2025-06-06 10:18:34,3.802812679059526e-05,0.5068388738650536
2025-06-06 10:24:57,3.802812679059526e-05,0.5066867613578913
2025-06-06 10:45:52,3.802812679059526e-05,0.5068388738650536
2025-06-06 10:56:25,3.802812679059526e-05,0.5050515519058956
2025-06-06 10:57:19,3.802812679059526e-05,0.5045952143844085
2025-06-10 07:45:11,3.802812679059526e-05,0.5021614142698104
2025-06-10 07:49:44,3.802812679059526e-05,0.5022754986501822
2025-06-10 07:50:02,3.802812679059526e-05,0.4916276231488155
2025-06-10 07:50:03,3.802812679059526e-05,0.5022374705233915
2025-06-11 12:59:22,3.802812679059526e-05,0.5033402862003188
